timestamp,mpan_id,kwh_consumption
2013-01-09T00:00:00Z,mpan-101,0.2
2013-01-09T00:30:00Z,mpan-101,0.3
2013-01-09T01:00:00Z,mpan-101,0.2
2013-01-09T01:30:00Z,mpan-101,0.2
2013-01-09T02:00:00Z,mpan-101,0.3
2013-01-09T02:30:00Z,mpan-101,0.3
2013-01-09T03:00:00Z,mpan-101,0.4
2013-01-09T03:30:00Z,mpan-101,0.4
2013-01-09T17:00:00Z,mpan-101,0.8
2013-01-09T17:30:00Z,mpan-101,1.2
2013-01-09T18:00:00Z,mpan-101,1.5
2013-01-09T18:30:00Z,mpan-101,1.6
2013-01-09T19:00:00Z,mpan-101,1.5
2013-01-09T23:30:00Z,mpan-101,0.5
2013-01-10T00:00:00Z,mpan-101,0.3
2013-01-10T00:30:00Z,mpan-101,0.3
2013-01-10T01:00:00Z,mpan-101,0.2
2013-01-10T01:30:00Z,mpan-101,0.2
2013-01-10T02:00:00Z,mpan-101,0.2
2013-01-10T02:30:00Z,mpan-101,0.3
2013-01-10T03:00:00Z,mpan-101,0.45
2013-01-10T03:30:00Z,mpan-101,0.4
2013-01-10T04:00:00Z,mpan-101,0.3
2013-01-10T17:00:00Z,mpan-101,0.9
2013-01-10T17:30:00Z,mpan-101,1.3
2013-01-10T18:00:00Z,mpan-101,1.75
2013-01-10T18:30:00Z,mpan-101,1.8
2013-01-10T19:00:00Z,mpan-101,1.6
2013-01-10T19:30:00Z,mpan-101,1.4
2013-01-10T23:30:00Z,mpan-101,0.6
2013-01-11T00:00:00Z,mpan-101,0.3
2013-01-11T00:30:00Z,mpan-101,0.2
2013-01-11T01:00:00Z,mpan-101,0.2
2013-01-11T01:30:00Z,mpan-101,0.2
2013-01-11T02:00:00Z,mpan-101,0.2
2013-01-11T02:30:00Z,mpan-101,0.2
2013-01-11T03:00:00Z,mpan-101,0.3
2013-01-11T03:30:00Z,mpan-101,0.3
2013-01-11T18:00:00Z,mpan-101,1.4
2013-01-11T18:30:00Z,mpan-101,1.3
2013-01-11T19:00:00Z,mpan-101,1.2
2013-01-11T23:30:00Z,mpan-101,0.4
